topic_id,rank,word,weight
42,2,code,0.2732863121459007
42,3,codes,0.24245118485470446
42,4,coding course,0.20870003008388033
42,5,coding experience,0.1985699623252679
42,6,learn coding,0.19639490129935963
42,7,coding great,0.19131434696095964
42,8,knowledge coding,0.1883350990022545
42,9,coding exercises,0.1846663139660924
42,10,write code,0.18194687937797094
43,1,marketing,0.46400184708812103
43,2,marketing course,0.27330425039608197
43,3,marketing concepts,0.23831179099418529
43,4,knowledge marketing,0.2134661780499781
43,5,course marketing,0.20868388659845602
43,6,new marketing,0.20154368871324607
43,7,learn marketing,0.20016690580656535
43,8,basics marketing,0.19916258808595014
43,9,marketing great,0.1990573935772989
43,10,marketing good,0.1896018564017651
44,1,networking,0.6001676174667675
44,2,computer networking,0.40083267262202066
44,3,networking course,0.29884876434050056
44,4,ip,0.27392126235494113
44,5,ipv6,0.2649819289948026
44,6,bytes,0.26237120592742336
44,7,bits bytes,0.2527986345824317
44,8,network,0.24404652780225772
44,9,computer,0.22894908290567528
44,10,subnetting,0.22517333677473048
45,1,peer,0.3668892926761934
45,2,grading,0.34363343976617633
45,3,peer review,0.32685890681959123
45,4,grade,0.2827085092057384
45,5,peers,0.2546276655808559
45,6,reviews,0.2468763346243385
45,7,graded,0.24601865267252387
45,8,review,0.23997260907216317
45,9,grader,0.23753238547375413
45,10,peer reviews,0.2371054174253624
46,1,great class,0.4101111329954264
46,2,enjoyed class,0.35580991273999624
46,3,class,0.3484618582631116
46,4,class learned,0.3240019878186114
46,5,good class,0.30938299947906717
46,6,loved class,0.2854479635343785
46,7,excellent class,0.2806976997034788
46,8,class great,0.26897983494743666
46,9,class really,0.2681378309153167
46,10,interesting class,0.26573391810270036
47,1,statistics,0.434356041245421
47,2,probability,0.4152180664303432
47,3,statistical,0.32744459813534366
47,4,statistics course,0.2637263014701738
47,5,probability statistics,0.25375504071964783
47,6,basic statistics,0.23004012871585977
47,7,knowledge statistics,0.20782978473237468
47,8,statistic,0.2011795917334205
47,9,introduction statistics,0.19976000755937282
47,10,stats,0.1991090832021997
48,1,art,0.5116982895516596
48,2,artists,0.4249679708935201
48,3,modern art,0.4062101430945276
48,4,moma,0.35452050943169305
48,5,arts,0.32623744620992845
48,6,painting,0.30129380662290695
48,7,modern,0.29920447273307044
48,8,artist,0.2896474064153524
48,9,contemporary,0.27752993040355034
48,10,corey,0.27511782074936836
49,1,enjoyed course,0.17456448412533201
49,2,course learned,0.1601175407128901
49,3,loved course,0.15499389606649733
49,4,course learnt,0.15466200424990045
49,5,really enjoyed,0.13237880684581008
49,6,lot loved,0.13012806679679548
49,7,things course,0.1295515196298825
49,8,learnt lot,0.12791503546968908
49,9,lot course,0.12709889914844155
49,10,learn enjoyed,0.12624150583017812
50,1,chinese,0.71351533976871
50,2,mandarin,0.3751764025920918
50,3,china,0.335453234584806
50,4,liu,0.32749624971530666
50,5,characters,0.31488870571598765
50,6,xie,0.30034350808671534
50,7,laoshi,0.26195505229645294
50,8,xiexie,0.23660059238996664
