topic_a,topic_b,n_a,n_b,U,p_uncorrected,rank_biserial_r
1,85,7203,777,2116993.5,5.842641661615376e-29,0.2435
1,86,7203,775,2620604.5,0.005118262260381929,0.0611
1,87,7203,764,2349095.5,2.781367455275365e-11,0.1463
1,88,7203,759,1853906.5,2.643639206511933e-48,0.3218
1,89,7203,744,2539203.5,0.018516637639402183,0.0524
1,90,7203,719,2656392.0,0.25250440317952705,-0.0258
1,91,7203,707,2341702.5,0.0004149313353644821,0.0803
1,92,7203,705,1340453.5,2.368987776153064e-95,0.4721
1,93,7203,705,2168429.5,1.4896425700685952e-10,0.146
1,94,7203,693,1615287.0,2.874461624237996e-53,0.3528
1,95,7203,686,1801456.5,7.940908189725057e-32,0.2709
1,96,7203,685,2505539.5,0.4989206396661098,-0.0156
1,97,7203,678,1441232.0,7.574030950940417e-70,0.4098
1,98,7203,670,2068213.0,8.949189336497207e-10,0.1429
1,99,7203,662,2858563.5,2.159598410813866e-17,-0.199
1,100,7203,655,2500017.0,0.011174538385234793,-0.0598
1,101,7203,644,4064078.5,3.2885848923028937e-220,-0.7522
1,102,7203,640,1906716.0,4.0233443451514527e-13,0.1728
1,103,7203,629,2034136.5,2.1232109152139763e-05,0.1021
1,104,7203,626,2481299.0,2.9082986922108297e-05,-0.1006
1,105,7203,625,1849358.5,1.2641266026590135e-13,0.1784
1,106,7203,621,1793651.5,2.3971975462599007e-16,0.198
1,107,7203,615,1793420.0,4.312447490855811e-15,0.1903
1,108,7203,610,2383293.5,0.0004932570004663217,-0.0848
1,109,7203,606,1804983.0,1.4104732810688224e-12,0.173
1,110,7203,599,1238867.0,2.3683840294049393e-67,0.4257
1,111,7203,595,1742088.5,3.094708244746276e-14,0.187
1,112,7203,593,1216878.5,4.036991763239233e-68,0.4302
1,113,7203,589,1967224.5,0.0033353665343461344,0.0726
1,114,7203,581,2744621.5,6.107452564473599e-36,-0.3117
1,115,7203,575,3129150.0,1.0225322668383697e-92,-0.511
1,116,7203,571,1734767.0,4.615964253279246e-10,0.1564
1,117,7203,566,2118014.5,0.12147959232633027,-0.039
1,118,7203,552,883479.0,2.9729544877660154e-105,0.5556
1,119,7203,546,867680.0,2.2583682793834813e-105,0.5588
1,120,7203,541,2014398.5,0.18825153967272945,-0.0339
1,121,7203,535,2518278.0,1.808865619135028e-32,-0.307
1,122,7203,534,2072107.5,0.0027904055429335104,-0.0774
1,123,7203,521,1487132.0,2.386221416922651e-15,0.2074
1,124,7203,515,1586915.5,4.17166453589812e-08,0.1444
1,125,7203,512,1828973.0,0.75814485428108,0.0081
1,126,7203,507,607153.5,1.10048767827548e-139,0.6675
1,127,7203,504,1620323.0,5.467647558500677e-05,0.1073
1,128,7203,502,1232074.5,6.428000550002256e-33,0.3185
1,129,7203,497,1905552.5,0.01586838968040445,-0.0646
1,130,7203,480,2193084.5,5.666249669624113e-23,-0.2686
1,131,7203,477,2100681.5,3.2941590478094184e-16,-0.2228
1,132,7203,476,1539663.5,0.00019272592795357228,0.1019
1,133,7203,475,1649921.5,0.19388093477289836,0.0355
1,134,7203,475,1580929.0,0.005543023717538594,0.0759
1,135,7203,472,1570927.5,0.005678660415006316,0.0759
1,136,7203,469,617838.5,1.4877530376065048e-117,0.6342
1,137,7203,462,1809281.5,0.001614686446136471,-0.0874
1,138,7203,458,1311936.0,1.9126118855474337e-13,0.2046
1,139,7203,452,1461699.5,0.0002661746160294637,0.1021
1,140,7203,451,1447020.0,9.868463530636475e-05,0.1091
1,141,7203,450,2314171.5,1.5961258018394998e-52,-0.4279
1,142,7203,447,2009880.0,1.0601317587552172e-18,-0.2485
1,143,7203,436,1350252.5,8.652631777219374e-07,0.1401
1,144,7203,434,1817612.0,1.1514106994247314e-08,-0.1629
1,145,7203,434,1506560.0,0.2053659760910137,0.0361
1,146,7203,427,1862536.0,2.106780096287676e-13,-0.2111
1,147,7203,424,1118673.0,1.8946025422001218e-20,0.2674
1,148,7203,423,1080679.5,8.19910371529827e-24,0.2906
1,149,7203,407,2347116.5,7.652977912245003e-93,-0.6012
1,150,7203,404,1623423.5,8.819185429570773e-05,-0.1158
1,151,7203,401,2599138.0,1.7299028976360048e-160,-0.7997
1,152,7203,398,710136.0,1.3321289442144448e-64,0.5046
1,153,7203,383,1396185.5,0.6873063615707915,-0.0122
1,154,7203,382,933125.5,2.5825824978924605e-26,0.3217
1,155,7203,381,1364598.5,0.8557268484744687,0.0055
1,156,7203,378,1099964.5,2.930963818872189e-10,0.192
1,157,7203,367,1537880.0,1.208448578527867e-07,-0.1635
1,158,7203,366,1265086.0,0.19320116381019514,0.0403
1,159,7203,361,1389939.0,0.026563132960553827,-0.0691
1,160,7203,360,1040077.0,2.245633081761599e-10,0.1978
1,161,7203,358,1061126.5,1.503150493209321e-08,0.177
1,162,7203,356,1241051.0,0.3067207366184278,0.032
1,163,7203,355,972697.5,2.5301796294086704e-14,0.2392
1,164,7203,352,1157786.0,0.005931294495346149,0.0867
1,165,7203,352,998072.0,1.4908307118317425e-11,0.2127
1,166,7203,349,1348881.0,0.020789873702295125,-0.0732
1,167,7203,346,1082969.0,3.787015888648957e-05,0.1309
1,168,7203,344,1406129.0,2.2801564982609685e-05,-0.135
1,169,7203,344,1226367.0,0.7505940694857984,0.0101
1,170,7203,341,1776437.5,3.0191896565039915e-44,-0.4465
1,171,7203,340,1208448.5,0.6823025819373583,0.0131
1,172,7203,339,1229384.5,0.8287264022260492,-0.0069
