topic_id,n,mean,median,median_ci_lo,median_ci_hi,std
188,296,0.07743100890955837,0.0006651878356933594,0.0005239248275756836,0.0009778738021850586,0.18452999245528193
78,836,0.11374803551181129,0.000655829906463623,0.0005660653114318848,0.0007406473159790039,0.2223141162102962
71,923,0.17450736989704202,0.0006553530693054199,0.0004928737878799438,0.0011652112007141113,0.27895510893576597
226,246,0.09347791006888936,0.0006146132946014404,0.00045120939612388613,0.0008492723107337951,0.21857872695855896
98,670,0.15817174776889464,0.0006117820739746094,0.0004950761795043945,0.0010000377893447873,0.24655119242440757
93,705,0.08218834152183468,0.0006049871444702148,0.0005295872688293457,0.0007269978523254395,0.20526094991614624
87,764,0.09390248758505426,0.0006006956100463867,0.0004880368709564209,0.0007396414875984192,0.20858001068621868
57,1056,0.09937274999458279,0.000598609447479248,0.0005199313163757324,0.0007270172238349914,0.23244867144347028
182,307,0.1082985458547361,0.0005959272384643555,0.0004693269729614258,0.000989675521850586,0.2265486075189372
0,11452,0.10642351447005162,0.0005928874015808105,0.0005652293562889099,0.0006276965141296387,0.2241057406226944
116,571,0.11905180253732224,0.0005926548619754612,0.0004597902297973633,0.0007247328758239746,0.24435738402562276
143,436,0.06087167495130048,0.0005919337272644043,0.0004626229405403137,0.0007130801677703857,0.16671656537996177
56,1126,0.12836456295981066,0.0005913376808166504,0.0004917815327644348,0.0007895067334175109,0.22265625137279582
167,346,0.1534734982389868,0.0005802512168884277,0.00035381317138671875,0.0014651358127593973,0.25031044808029496
222,254,0.09706342908291157,0.000569075345993042,0.00045293569564819336,0.0010189339518547054,0.19996983349762523
124,515,0.08453359410315933,0.0005684494972229004,0.0004509091377258301,0.0007082223892211914,0.17627583669849659
102,640,0.06685946770203373,0.0005519986152648926,0.0005035400390625,0.0006695955991744994,0.19194205330087857
5,4439,0.1304042825697197,0.0005512833595275879,0.0004949569702148438,0.0006061792373657227,0.25651893020399585
140,451,0.12201396994699415,0.0005341172218322754,0.0004292815923690796,0.0007298588752746582,0.24045811305955678
51,1186,0.06379180876638278,0.0005309581756591797,0.0004538893699645996,0.0006107687950134277,0.18046261193336643
19,2496,0.16835794927163614,0.0005233883857727051,0.0004383847117424011,0.000681161880493164,0.2624121626198162
204,275,0.08260323131922633,0.000522315502166748,0.00039821863174438477,0.0006425976753234863,0.18013493698346494
233,230,0.11355121483641636,0.0005093812942504883,0.00037854909896850586,0.0008976019918918609,0.23357274458342234
132,476,0.10802376779907763,0.0005075931549072266,0.0003833770751953125,0.0006858333945274352,0.2251082351134064
103,629,0.09497139241609505,0.0004998445510864258,0.00040584802627563477,0.0006734132766723633,0.20975460421924189
